Assistante	position
commerciale	position
Le	company
Carré	company
immobilier	company
-	O
Chatou	city
-LRB-	O
78	code postal
-RRB-	O
24	salary
700	salary
$	salary
par	salary
an	salary
-	O
CDI	contrat_type
Notre	O
agence	O
est	O
située	O
sur	O
les	O
secteurs	O
de	O
Chatou	city
,	O
Le	O
Vésinet	O
et	O
Croissy	O
sur	O
seine	O
depuis	O
2005	O
et	O
elle	O
est	O
idéalement	O
placée	O
spécialisée	O
dans	O
la	O
transaction	O
immobilière	O
.	O
Nous	O
recrutons	O
une	position
assistante	position
commerciale	position
H/F	O
avec	experience
de	experience
l'expérience	experience
.	O
Votre	hard skills
mission	hard skills
:	O
Accueil	hard skills
physique	hard skills
et	hard skills
téléphonique	hard skills
des	hard skills
clients	hard skills
,	
en	hard skills
contact	hard skills
permanent	hard skills
avec	hard skills
les	hard skills
clients	hard skills
,	
vous	hard skills
êtes	hard skills
garant	hard skills
-LRB-	O
e	hard skills
-RRB-	O
de	hard skills
l'image	hard skills
de	hard skills
la	hard skills
société	hard skills
.	O
Organiser	hard skills
les	hard skills
rendez-vous	hard skills
des	hard skills
négociateurs	hard skills
.	
Mise	hard skills
à	hard skills
jour	hard skills
de	hard skills
la	hard skills
base	hard skills
de	hard skills
données	hard skills
clients	hard skills
et	hard skills
du	hard skills
fichier	hard skills
produits	hard skills
.	O
Relancer	hard skills
les	hard skills
clients	hard skills
par	hard skills
téléphone	hard skills
.	
Etablir	hard skills
les	hard skills
estimations	hard skills
et	hard skills
les	hard skills
courriers	hard skills
demandés	hard skills
par	hard skills
les	hard skills
négociateurs	hard skills
.	
Vous	soft skills
êtes	soft skills
dynamique	soft skills
,	O
autonome	soft skills
,	O
consciencieux	soft skills
-LRB-	
se	soft skills
-RRB-	O
,	
réactif	soft skills
-LRB-	O
ve	soft skills
-RRB-	O
et	soft skills
vous	soft skills
possédez	soft skills
un	soft skills
grand	soft skills
sens	soft skills
du	soft skills
service	soft skills
.	
Vous	soft skills
êtes	soft skills
reconnu	soft skills
-LRB-	
e	soft skills
-RRB-	O
pour	soft skills
votre	soft skills
proactivité	soft skills
,	O
vos	soft skills
prises	soft skills
d'initiatives	soft skills
et	soft skills
votre	soft skills
esprit	soft skills
d'équipe	soft skills
.	O
Vous	soft skills
savez	soft skills
gérer	soft skills
les	soft skills
priorités	soft skills
et	soft skills
faites	soft skills
preuve	soft skills
de	soft skills
persévérance	soft skills
.	
Vous	hard skills
maitrisez	hard skills
parfaitement	hard skills
Pack	hard skills
Office	hard skills
-LRB-	
Word	hard skills
,	O
Excel	hard skills
,	O
Powerpoint	hard skills
...	O
-RRB-	O
et	soft skills
disposez	soft skills
d'excellentes	soft skills
qualités	soft skills
rédactionnelles	soft skills
.	
Votre	
rémunération	O
sera	O
de	O
24700	salary
$	salary
brut/an	salary
Type	O
d'emploi	O
:	O
CDI	contrat_type
