Professeur	position
/	O
Professeure	position
de	position
langues	position
vivantes	position
-LRB-	O
H/F	O
-RRB-	O
CDSS	company
-	O
Mesnil-Raoul	city
-LRB-	O
76	postal code
-RRB-	O
18	salary
$	salary
-	O
20	salary
$	salary
par	salary
heure	salary
-	O
Temps	contrat_type
partiel	contrat_type
Le	company
Centre	company
Départemental	company
de	company
Soutien	company
Scolaire	company
recherche	O
sur	O
la	O
commune	O
de	O
Mesnil	city
Raoul	city
-LRB-	O
76	postal code
-RRB-	O
un	position
-LRB-	O
e	position
-RRB-	O
enseignant	position
-LRB-	O
e	position
-RRB-	O
expérimenté	position
-LRB-	O
e	position
-RRB-	O
pour	hard skills
dispenser	hard skills
des	hard skills
cours	hard skills
de	hard skills
soutien	hard skills
en	hard skills
Anglais	hard skills
et/ou	hard skills
Espagnol	hard skills
auprès	hard skills
d'une	hard skills
élève	hard skills
actuellement	hard skills
en	hard skills
2ème	hard skills
année	hard skills
de	hard skills
BTS	hard skills
.	O
Vous	soft skills
êtes	soft skills
fiable	soft skills
,	
pédagogue	soft skills
et	soft skills
ponctuel	soft skills
-LRB-	O
le	soft skills
-RRB-	O
!	O
Vous	experience
avez	experience
au	experience
minimum	experience
une	experience
expérience	experience
similaire	experience
et	experience
un	experience
diplôme	experience
Bac	experience
3	experience
dans	experience
cette	experience
discipline	experience
Type	
d'emploi	O
:	O
Temps	contrat_type
partiel	contrat_type
Salaire	O
:	O
18	salary
$	salary
à	O
20	salary
$	salary
/	O
heure	salary
Langue	O
exigée	O
:	O
anglais	hard skills
