Responsable	position
de	position
secteur	position
-LRB-	O
H/F	O
-RRB-	O
DOMAVIA	company
-	O
Paris	city
-LRB-	O
75	code postal
-RRB-	O
20	salary
0	salary
$	salary
-	O
30	salary
0	salary
$	salary
par	salary
an	salary
-	O
CDI	contrat_type
Jeune	O
entreprise	O
de	O
service	O
à	O
la	O
personne	O
,	O
Domavia	company
bénéficie	O
d'une	O
forte	O
croissance	O
grâce	O
à	O
un	O
business	O
model	O
innovant	O
qui	O
se	O
différencie	O
par	O
de	O
nombreux	O
aspects	O
des	O
structures	O
concurrentes	O
.	O
Notre	O
ambition	O
est	O
de	O
promouvoir	O
la	O
professionnalisation	O
du	O
secteur	O
de	O
la	O
dépendance	O
à	O
domicile	O
-LRB-	O
secteur	O
à	O
très	O
fort	O
potentiel	O
-RRB-	O
afin	O
de	O
permettre	O
à	O
nos	O
clients	O
de	O
bénéficier	O
de	O
prestations	O
de	O
la	O
plus	O
haute	O
qualité	O
et	O
de	O
proposer	O
à	O
nos	O
équipes	O
des	O
conditions	O
de	O
travail	O
attrayantes	O
.	O
Les	O
enjeux	O
soulevés	O
par	O
le	O
vieillissement	O
de	O
la	O
population	O
sont	O
nombreux	O
:	O
Domavia	company
représente	O
une	O
nouvelle	O
approche	O
pour	O
la	O
prise	O
en	O
charge	O
de	O
la	O
dépendance	O
à	O
domicile	O
.	O
Nous	O
recherchons	O
actuellement	O
plusieurs	position
``	O
Responsables	position
de	position
secteur	position
''	O
pour	hard skills
accompagner	hard skills
notre	hard skills
développement	hard skills
.	O
Vous	hard skills
aurez	hard skills
notamment	hard skills
en	hard skills
charge	hard skills
:	O
-	
Prospecter	hard skills
,	
développer	hard skills
,	O
fidéliser	hard skills
et	hard skills
rencontrer	hard skills
régulièrement	hard skills
des	hard skills
prescripteurs	hard skills
-LRB-	O
acteurs	hard skills
publics	hard skills
ou	hard skills
privés	hard skills
-RRB-	
pour	hard skills
créer	hard skills
de	hard skills
nouvelles	hard skills
opportunités	hard skills
commerciales	hard skills
-	
Conquérir	hard skills
de	hard skills
nouveaux	hard skills
clients	hard skills
-	hard skills
Gérer	hard skills
un	hard skills
portefeuille	hard skills
de	hard skills
prospects	hard skills
et	hard skills
de	hard skills
clients	hard skills
-	
Analyser	hard skills
et	hard skills
évaluer	hard skills
les	hard skills
besoins	hard skills
du	hard skills
prospect	hard skills
ou	hard skills
du	hard skills
client	hard skills
au	hard skills
domicile	hard skills
ou	hard skills
en	hard skills
structure	hard skills
-	O
Tenir	hard skills
à	hard skills
jour	hard skills
les	hard skills
divers	hard skills
indicateurs	hard skills
et	hard skills
tableaux	hard skills
de	hard skills
bord	hard skills
et	hard skills
gérer	hard skills
les	hard skills
aspects	hard skills
budgétaires	hard skills
et	hard skills
administratifs	hard skills
liés	hard skills
à	hard skills
la	hard skills
mise	hard skills
en	hard skills
place	hard skills
des	hard skills
prestations	hard skills
-	
S'assurer	hard skills
de	hard skills
la	hard skills
qualité	hard skills
de	hard skills
la	hard skills
prestation	hard skills
-	
Participer	hard skills
au	hard skills
développement	hard skills
des	hard skills
procédures	hard skills
en	hard skills
vigueur	hard skills
Conquérant	hard skills
-LRB-	
e	hard skills
-RRB-	O
,	O
vous	soft skills
êtes	soft skills
sensible	soft skills
à	soft skills
la	soft skills
dimension	soft skills
humaine	soft skills
,	O
autonome	soft skills
,	O
responsable	soft skills
,	O
organisé	soft skills
-LRB-	O
e	soft skills
-RRB-	O
,	O
créatif	soft skills
-LRB-	
ve	soft skills
-RRB-	O
et	soft skills
ambitieux	soft skills
-LRB-	O
se	soft skills
-RRB-	O
?	O
Nous	O
saurons	O
vous	O
proposer	O
un	O
métier	O
d'avenir	O
pour	O
lequel	O
votre	O
évolution	O
sera	O
à	O
la	O
hauteur	O
de	O
vos	O
résultats	O
dans	O
un	O
secteur	O
d'avenir	O
,	O
en	O
plein	O
essor	O
et	O
non	O
délocalisable	O
.	O
Parce	O
que	O
le	O
talent	O
ne	O
dépend	O
pas	O
de	O
l'âge	O
,	O
les	O
débutant	O
-LRB-	O
e	O
-RRB-	O
sont	O
accepté	O
-LRB-	O
e	O
-RRB-	O
s	O
!	O
Titulaire	experience
d'un	experience
bac	experience
5	experience
,	O
idéalement	experience
dans	experience
le	experience
secteur	experience
sanitaire	experience
et	experience
social	experience
.	O
Rémunération	O
-LRB-	O
évolutive	O
-RRB-	O
composée	O
d'un	O
fixe	O
-LRB-	O
20k	O
$	O
+	O
variable	O
-RRB-	O
/	O
statut	O
agent	O
de	O
maîtrise	O
Poste	O
basé	O
à	O
Paris	city
15	city
,	
déplacement	O
à	O
prévoir	O
Paris	O
+	O
petite	O
couronne	O
.	O
CV	O
+	O
Lettre	O
de	O
motivation	O
-	O
Référence	O
obligatoire	O
:	O
#CC1375	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
20	salary
0	salary
$	salary
à	O
30	salary
0	salary
$	salary
/	O
an	salary
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
Master	experience
