Assistant	position
-LRB-	
e	position
-RRB-	O
support	position
et	position
base	position
de	position
données	position
h/f	O
CLINIGRID	company
-	O
Achères	city
-LRB-	O
78	code postal
-RRB-	O
2	salary
200	salary
$	salary
-	O
2	salary
500	salary
$	salary
par	salary
mois	salary
-	O
CDI	contrat_type
Chez	O
Clinigrid	company
®	O
,	O
nous	O
rendons	O
la	O
collecte	O
,	O
la	O
gestion	O
et	O
le	O
partage	O
des	O
données	O
de	O
santé	O
plus	O
simples	O
,	O
plus	O
productifs	O
et	O
plus	O
bénéfiques	O
.	O
Pour	O
les	O
médecins	O
,	O
les	O
centres	O
de	O
recherche	O
et	O
l'industrie	O
pharmaceutique	O
,	O
nous	O
imaginons	O
des	O
solutions	O
,	O
web	O
et	O
mobiles	O
,	O
innovantes	O
pour	O
optimiser	O
la	O
prise	O
en	O
charge	O
et	O
le	O
suivi	O
des	O
patients	O
.	O
Avantages	O
Choix	O
du	O
matériel	O
AfterWork	O
Running	O
Mardi	O
et	O
Jeudi	O
soir	O
Squash	O
le	O
Vendredi	O
midi	O
Engagements	O
Bonne	O
ambiance	O
Parité	O
-LRB-	O
Eh	O
oui	O
nous	O
y	O
sommes	O
!	O
-RRB-	O
Made	O
In	O
France	O
Mission	O
En	O
relation	O
avec	O
les	O
équipes	O
techniques	O
,	O
tu	hard skills
assures	hard skills
la	hard skills
communication	hard skills
avec	hard skills
les	hard skills
utilisateurs	hard skills
de	hard skills
nos	hard skills
solutions	hard skills
:	
Le	hard skills
suivi	hard skills
des	hard skills
contrats	hard skills
et	hard skills
négociation	hard skills
des	hard skills
avenants	hard skills
Le	hard skills
support	hard skills
de	hard skills
niveau	hard skills
1	hard skills
sur	hard skills
nos	hard skills
solutions	hard skills
de	hard skills
dossiers	hard skills
patient	hard skills
et	hard skills
de	hard skills
suivi	hard skills
de	hard skills
cohorte	hard skills
La	hard skills
relation	hard skills
avec	hard skills
les	hard skills
fabricants	hard skills
de	hard skills
matériels	hard skills
médicaux	hard skills
La	hard skills
mise	hard skills
à	hard skills
jour	hard skills
du	hard skills
référentiel	hard skills
de	hard skills
matériels	hard skills
médicaux	hard skills
Profil	
Quelque	
soit	
ta	
formation	O
:	O
Tu	hard skills
as	hard skills
de	hard skills
bonne	hard skills
connaissance	hard skills
des	O
outils	hard skills
MS	hard skills
Office	hard skills
Tu	
souhaites	
intégrer	
une	O
équipe	O
jeune	O
et	O
dynamique	O
Tu	soft skills
es	soft skills
très	soft skills
rigoureux	soft skills
-LRB-	O
se	soft skills
-RRB-	O
Tu	soft skills
es	soft skills
curieux	soft skills
-LRB-	O
se	soft skills
-RRB-	O
,	O
entreprenant	soft skills
-LRB-	O
e	soft skills
-RRB-	O
et	O
capable	soft skills
de	soft skills
travailler	soft skills
en	soft skills
autonomie	soft skills
Tu	soft skills
disposes	soft skills
de	soft skills
bonne	soft skills
qualité	soft skills
relationnelle	soft skills
et	soft skills
d'une	soft skills
fibre	soft skills
commerciale	soft skills
.	O
Lieu	O
Achères	city
Rémunération	O
25-28	salary
k	salary
$	salary
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
2	salary
200	salary
$	salary
à	O
2	salary
500	salary
$	salary
/	O
mois	salary
