Technicien	position
Fibre	position
Optique	position
-LRB-	O
H/F	O
-RRB-	O
Delta	company
Fibre	company
Optique	company
-	O
Vénissieux	city
-LRB-	O
69	postal code
-RRB-	O
1	salary
500	salary
$	salary
par	salary
mois	salary
L'entreprise	O
Delta	company
Fibre	company
Optique	company
recherche	O
dans	O
le	O
cadre	O
de	O
son	O
développement	O
un	position
-LRB-	O
e	position
-RRB-	O
Technicien	position
-LRB-	O
e	position
-RRB-	O
Fibre	position
Optique	position
pour	
un	O
contrat	contrat_type
à	contrat_type
durée	contrat_type
indéterminée	contrat_type
.	O
Vos	hard skills
missions	hard skills
:	
tirages	hard skills
de	hard skills
câbles	hard skills
raccordements	hard skills
soudure	hard skills
si	hard skills
possible	
Rémunération	
:	O
10.5	salary
à	O
12	salary
euros	salary
/	O
heure	salary
selon	O
expérience	O
Profil	O
recherché	O
Vous	soft skills
êtes	soft skills
dynamique	soft skills
,	O
volontaire	soft skills
.	O
Expérience	experience
en	experience
fibre	experience
optique	experience
demandée	experience
Veuillez	
envoyez	O
votre	O
CV	O
.	O
Type	O
de	O
contrat	O
CDI	contrat_type
Secteur	O
d'activité	O
Télécom	hard skills
/	O
Internet	hard skills
/	O
Médias	hard skills
Fonction	hard skills
Production	hard skills
/	O
Opérations	hard skills
Expérience	experience
0	experience
à	experience
2	experience
ans	experience
Niveau	experience
d'études	experience
Employé	experience
/	
Ouvrier	experience
spécialisé	experience
/	O
Bac	experience
Type	O
d'emploi	O
:	O
Temps	contrat_type
plein	contrat_type
Salaire	O
:	O
1	salary
500	salary
$	salary
/	O
mois	salary
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
Études	experience
secondaires	experience
-LRB-	O
niveau	experience
Bac	experience
-RRB-	O
