Maitre	position
Nageur	position
Sauveteur	position
Complexe	company
Alain	company
Bernard	company
des	company
2	company
Vallées	company
-	O
Milly-la-Forêt	city
-LRB-	O
91	code postal
-RRB-	O
1	salary
934	salary
$	salary
-	
1	salary
972	salary
$	salary
par	salary
mois	salary
-	O
CDD	contrat_type
Nous	O
sommes	O
à	O
la	O
recherche	O
de	O
1	O
BEESAN	O
-LRB-	O
brevet	experience
d	experience
'	experience
état	experience
d	experience
éducateur	experience
sportif	experience
des	experience
activités	experience
de	experience
la	experience
natation	experience
-RRB-	O
ou	O
de	experience
1	experience
BPJEPS	experience
AAN	experience
à	
partir	
du	O
13	O
novembre	O
2017	O
.	O
Pour	O
un	O
contrat	O
en	O
CDD	contrat_type
de	O
35	O
heures	O
semaines	O
-LRB-	O
1	O
week-end	O
sur	O
4	O
travaillé	O
-RRB-	O
.	O
Tâches	O
:	O
surveillance	hard skills
des	hard skills
bassins	hard skills
,	
renseignement	hard skills
et	hard skills
prévention	hard skills
des	hard skills
dangers	hard skills
,	O
animations	hard skills
des	hard skills
cours	hard skills
d'apprentissage	hard skills
enfants	hard skills
et	hard skills
adultes	hard skills
-LRB-	h
à	O
partir	O
de	O
3	O
ans	O
-RRB-	O
,	O
animation	hard skills
des	hard skills
cours	hard skills
d'aquagym	hard skills
,	
de	O
lagon	O
tonic	O
et	O
de	O
cycling	O
.	O
Pédagogie	O
scolaire	O
du	O
lundi	O
au	O
vendredi	O
.	O
Vous	O
aurez	O
la	O
possibilité	O
de	O
donner	O
des	O
cours	O
particuliers	O
en	O
tant	O
qu'auto	O
entrepreneur.Adresse	O
du	O
centre	O
aquatique	O
:	O
Centre	company
Aquatique	company
Alain	company
Bernard	company
23	O
rue	O
de	O
la	O
Chapelle	O
Saint	O
Blaise	O
91490	code postal
Milly	city
la	O
Forêt	O
Salaire	O
:	O
1933.79	salary
$	salary
brut/mois	salary
.	O
Type	O
d'emploi	O
:	O
CDD	contrat_type
Salaire	O
:	O
1	salary
933,79	salary
$	salary
à	O
1	salary
971,71	salary
$	salary
/	O
mois	salary
	O
