Technicien	position
fibre	position
optique	position
D3	position
H/F	O
-LRB-	O
75	postal code
-RRB-	O
SBC	company
Energies	company
-	O
Paris	city
-LRB-	O
75	postal code
-RRB-	O
1	salary
900	salary
$	salary
par	salary
mois	salary
-	O
CDI	contrat_type
Notre	O
entreprise	O
,	O
SBC	company
ENERGIES	company
,	O
expert	O
en	O
recrutement	O
et	O
travail	O
temporaire	O
spécialisé	O
dans	O
les	O
métiers	O
des	O
Télécoms	O
/	O
Réseaux	O
recherche	O
pour	O
l'un	O
de	O
ses	O
clients	O
,	O
acteur	O
français	O
majeur	O
des	O
télécommunications	O
le	O
profil	O
suivant	O
:	O
Un	position
Technicien	position
Fibre	position
optique	position
H/F	O
D3	position
Type	O
de	O
contrat	O
:	O
CDI	contrat_type
Début	O
de	O
contrat	O
:	O
Immédiatement	O
Rémunération	O
:	O
1900	salary
$	salary
avec	O
véhicule	O
utilitaire	O
,	O
PC	O
portable	O
,	O
téléphone	O
portable	O
,	O
mutuelle	O
,	O
ticket	O
restaurant	O
-LRB-	O
9,5	O
$	O
-RRB-	O
Placé	O
sous	O
la	O
direction	O
d'un	O
conducteur	O
de	O
travaux	O
,	O
vous	hard skills
aurez	hard skills
pour	hard skills
missions	hard skills
:	
-	O
Réaliser	hard skills
des	hard skills
tirages	hard skills
de	hard skills
câbles	hard skills
de	hard skills
fibre	hard skills
optique	hard skills
-LRB-	
extérieurs	hard skills
et	hard skills
intérieurs	hard skills
-RRB-	O
,	
lovage	hard skills
cassette	hard skills
et	hard skills
mise	hard skills
en	hard skills
service	hard skills
du	hard skills
matériel	hard skills
abonné	hard skills
-	hard skills
Réaliser	hard skills
le	hard skills
raccordement	hard skills
de	hard skills
la	hard skills
fibre	hard skills
optique	hard skills
-LRB-	
PB	hard skills
-RRB-	O
-	O
Réaliser	hard skills
,	
traiter	hard skills
et	hard skills
analyser	hard skills
des	hard skills
mesures	hard skills
optiques	hard skills
-LRB-	O
photométrie	hard skills
-RRB-	O
Profil	O
recherché	O
:	O
De	experience
formation	experience
CAP	experience
ou	experience
BEP	experience
Électrotechnique	experience
et	experience
d'une	experience
expérience	experience
de	experience
1	experience
à	experience
2ans	experience
dans	experience
le	experience
domaine	experience
de	experience
la	experience
fibre	experience
optique	experience
ou	experience
courant	experience
fort/faible	experience
-LRB-	
électricien	experience
,	O
électrotechnicien	experience
-RRB-	O
Formation	experience
fibre	experience
disponible	experience
Organisation	soft skills
et	soft skills
rigueur	soft skills
Vos	soft skills
qualités	soft skills
humaines	soft skills
et	soft skills
relationnelles	soft skills
,	O
votre	soft skills
enthousiasme	soft skills
et	soft skills
votre	soft skills
implication	soft skills
contribueront	soft skills
à	soft skills
votre	soft skills
épanouissement	soft skills
au	soft skills
sein	soft skills
de	soft skills
notre	soft skills
société	soft skills
.	O
Permis	hard skills
B	hard skills
-LRB-	O
obligatoire	hard skills
-RRB-	O
Merci	O
de	O
nous	O
faire	O
parvenir	O
votre	O
candidature	O
par	O
mail	O
Pour	O
tous	O
renseignements	O
,	O
n'hésitez	O
-	O
pas	O
à	O
nous	O
contacter	O
SBC	company
ENERGIES	company
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	O
:	O
1	salary
900	salary
$	salary
/	O
mois	salary
Certificat	O
ou	O
accréditation	O
exigés	O
:	O
Permis	hard skills
B	hard skills
