Chef	position
de	position
projet	position
digital	company
Pulse	company
Stories	company
-	O
Boulogne-Billancourt	city
-LRB-	O
92	postal code
-RRB-	O
CDI	contrat_type
LE	O
POSTE	O
:	O
Sous	O
la	O
responsabilité	O
du	O
Directeur	O
Général	O
,	O
vous	hard skills
êtes	hard skills
l'interlocuteur	hard skills
privilégié	hard skills
de	hard skills
nos	hard skills
clients	hard skills
et	hard skills
responsable	hard skills
de	hard skills
la	hard skills
bonne	hard skills
réalisation	hard skills
des	hard skills
projets	hard skills
qui	hard skills
vous	hard skills
sont	hard skills
confiés	hard skills
.	
LES	hard skills
MISSIONS	hard skills
:	O
o	hard skills
Analyse	hard skills
du	hard skills
brief	hard skills
,	hard skills
du	hard skills
contexte	hard skills
et	hard skills
des	hard skills
enjeux	hard skills
du	hard skills
projet	hard skills
,	hard skills
o	hard skills
Établissement	hard skills
du	hard skills
cahier	hard skills
des	hard skills
charges	hard skills
associé	hard skills
au	hard skills
projet	hard skills
-LRB-	
arborescence	hard skills
,	
fonctionnalités	hard skills
,	
storyboarding	hard skills
,	O
spécifications	hard skills
fonctionnelles	hard skills
-RRB-	O
,	O
o	O
Interface	hard skills
avec	hard skills
le	hard skills
client	hard skills
et	hard skills
l'	hard skills
équipe	hard skills
projet	hard skills
-LRB-	
développeurs	hard skills
,	O
graphistes	hard skills
,	
...	O
-RRB-	O
,	
o	O
Conduite	hard skills
et	hard skills
suivi	hard skills
de	hard skills
projet	hard skills
:	
préparation	hard skills
et	hard skills
suivi	hard skills
du	hard skills
planning	hard skills
,	
suivi	hard skills
budgétaire	hard skills
,	
affectation	hard skills
des	hard skills
ressources	hard skills
,	O
o	O
Contrôle	hard skills
de	hard skills
la	hard skills
qualité	hard skills
des	hard skills
livrables	hard skills
.	O
VOTRE	O
PROFIL	O
:	O
Le	soft skills
ou	soft skills
la	soft skills
candidate	soft skills
idéal	soft skills
-LRB-	O
e	soft skills
-RRB-	O
est	O
à	soft skills
la	soft skills
fois	soft skills
intéressé	soft skills
-LRB-	O
e	soft skills
-RRB-	O
par	soft skills
le	soft skills
digital	soft skills
et	soft skills
par	soft skills
les	soft skills
nouvelles	soft skills
technologies	soft skills
.	O
o	O
Bac	experience
5	experience
école	experience
de	experience
Commerce	experience
ou	experience
de	experience
Communication	experience
.	
o	O
Expérience	experience
:	
en	experience
début	experience
de	experience
carrière	experience
ou	experience
en	experience
sortie	experience
d'	experience
étude	experience
.	O
o	
Gestion	experience
de	experience
projet	experience
,	O
o	O
Maîtrise	hard skills
du	hard skills
Français	hard skills
et	hard skills
de	hard skills
l'Anglais	hard skills
,	O
o	
Outils	hard skills
Microsoft	hard skills
Office	hard skills
-LRB-	O
plus	hard skills
spécialement	hard skills
PowerPoint	hard skills
-RRB-	O
,	O
o	O
Bon	soft skills
relationnel	soft skills
,	O
o	O
Intérêt	soft skills
prononcé	soft skills
pour	soft skills
l'aspect	soft skills
commercial	soft skills
.	O
VOUS	soft skills
FAÎTES	soft skills
PREUVE	soft skills
DE	soft skills
:	
o	O
Dynamisme	soft skills
,	O
rigueur	soft skills
et	soft skills
organisation	soft skills
,	O
o	O
D'un	soft skills
bon	soft skills
relationnel	soft skills
et	soft skills
êtes	soft skills
force	soft skills
de	soft skills
proposition	soft skills
,	O
o	O
D'un	soft skills
esprit	soft skills
de	soft skills
synthèse	soft skills
,	O
o	O
D'une	soft skills
capacité	soft skills
à	soft skills
travailler	soft skills
à	soft skills
la	soft skills
fois	soft skills
en	soft skills
équipe	soft skills
et	soft skills
en	soft skills
autonomie	soft skills
.	O
BONUS	O
:	O
-	O
Photoshop	O
-	O
Programmation	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
