RESPONSABLE	position
DE	position
SALLE	position
EN	
VILLAGE	company
VACANCES	company
MONTAGNE	company
-	O
SAISON	
HIVER	
Cap	
`	
vacances	
-	O
Morzine	city
-LRB-	O
74	postal code
-RRB-	O
CDD	contrat_type
VILLAGE	company
VACANCES	company
MORZINE	city
-LRB-	O
74	postal code
-RRB-	O
RECRUTE	O
UN	position
RESPONSABLE	position
DE	position
SALLE	position
H/F	O
L'établissement	O
est	O
situé	O
au	O
centre	O
du	O
village	O
de	O
Morzine	city
,	O
station	O
du	O
domaine	O
skiable	O
des	O
portes	O
du	O
soleil	O
.	O
Sa	O
capacité	O
d'accueil	O
est	O
de	O
210	O
lits	O
.	O
Il	O
est	O
rénové	O
et	O
équipé	O
d'un	O
SPA	O
.	O
Vous	hard skills
êtes	hard skills
garant	hard skills
de	hard skills
la	hard skills
qualité	hard skills
de	hard skills
l'accueil	hard skills
de	hard skills
notre	hard skills
clientèle	hard skills
et	hard skills
du	hard skills
service	hard skills
en	hard skills
salle	hard skills
,	O
conformément	hard skills
au	hard skills
cahier	hard skills
des	hard skills
charges	hard skills
.	O
Vous	hard skills
êtes	hard skills
responsable	hard skills
de	hard skills
l'organisation	hard skills
,	
de	hard skills
la	hard skills
fluidité	hard skills
du	hard skills
service	hard skills
et	hard skills
du	hard skills
contrôle	hard skills
du	hard skills
respect	hard skills
des	hard skills
normes	hard skills
d'hygiène	hard skills
.	
Vous	hard skills
travaillez	hard skills
en	hard skills
étroite	hard skills
collaboration	hard skills
avec	hard skills
le	hard skills
chef	hard skills
de	hard skills
cuisine	hard skills
sur	hard skills
la	hard skills
mise	hard skills
en	hard skills
valeur	hard skills
et	hard skills
le	hard skills
réassort	hard skills
des	hard skills
buffets	hard skills
.	O
Dans	hard skills
ce	hard skills
cadre	hard skills
,	
vous	hard skills
managez	hard skills
l'équipe	hard skills
en	hard skills
salle	hard skills
.	O
Date	O
de	O
début	O
de	O
poste	O
:	O
début	O
décembre	O
2017	O
-	O
Date	O
de	O
fin	O
de	O
poste	O
:	O
fin	O
avril	O
2018	O
Poste	O
logé	O
contre	O
retenues	O
-	O
Repas	O
avantage	O
en	O
nature	O
Type	O
de	O
clientèle	O
:	O
familles	O
,	O
groupes	O
,	O
séminaires	O
Configuration	O
d'équipe	O
:	O
5	O
personnes	O
Type	O
d'emploi	O
:	O
CDD	contrat_type
