Electrotechnicien	position
H/F	O
MAKITA	company
FRANCE	company
SAS	company
-	O
Bussy-Saint-Georges	city
-LRB-	O
77	postal code
-RRB-	O
1	salary
700	salary
$	salary
par	salary
mois	salary
-	O
CDD	contrat_type
Acteur	O
principal	O
de	O
la	O
vente	O
d'outillage	O
électroportatif	O
professionnel	O
et	O
Motoculture	O
/	O
jardin	O
,	O
nous	O
recherchons	O
afin	O
de	O
renforcer	O
notre	O
siège	O
de	O
Bussy	city
St	city
Georges	city
-LRB-	O
77	postal code
-RRB-	O
:	O
UN	position
ÉLECTROTECHNICIEN	position
en	O
CDD	contrat_type
3	O
MOIS	O
-LRB-	O
H/F	O
-RRB-	O
Vous	hard skills
prenez	hard skills
en	hard skills
charge	hard skills
la	hard skills
réparation	hard skills
des	hard skills
machines	hard skills
électrotechniques	hard skills
de	hard skills
nos	hard skills
clients	hard skills
.	
A	hard skills
cette	hard skills
fin	hard skills
,	
vous	hard skills
enregistrez	hard skills
les	hard skills
machines	hard skills
à	hard skills
leur	hard skills
arrivée	hard skills
,	
recherchez	hard skills
les	hard skills
pannes	hard skills
et	hard skills
dysfonctionnements	hard skills
,	
déterminez	hard skills
le	hard skills
forfait	hard skills
de	hard skills
facturation	hard skills
à	hard skills
appliquer	hard skills
et	hard skills
assurez	hard skills
la	hard skills
réparation	hard skills
de	hard skills
la	hard skills
machine	hard skills
.	
Profil	O
:	O
Diplômé	experience
en	experience
électrotechnique	experience
ou	experience
maintenance	experience
des	experience
équipements	experience
industriels	experience
.	O
Vous	experience
justifiez	experience
d'une	experience
expérience	experience
d'au	experience
moins	experience
3	experience
mois	experience
.	O
Poste	O
à	O
pourvoir	O
immédiatement	O
en	O
CDD	contrat_type
de	O
3	O
mois	O
renouvelable	O
.	O
Horaires	O
:	O
8h-17h	O
-LRB-	O
amplitude	O
maximum	O
-RRB-	O
.	O
Rémunération	O
:	O
1700	salary
$	salary
bruts	salary
mensuels	salary
+	O
13ème	salary
mois	salary
+	O
tickets	O
restaurant	O
de	O
8,9	O
$	O
+	O
mutuelle	O
+	O
participation	O
.	O
Vous	soft skills
êtes	soft skills
rigoureux	soft skills
,	O
organisé	soft skills
et	soft skills
réactif	soft skills
,	O
vous	soft skills
faites	soft skills
preuve	soft skills
d'un	soft skills
bon	soft skills
relationnel	soft skills
et	soft skills
êtes	soft skills
disponible	soft skills
immédiatement	soft skills
.	O
Merci	O
d'adresser	O
lettre	O
de	O
motivation	O
+	O
CV	O
sous	O
format	O
WORD	O
ou	O
PDF	O
+	O
prétentions	O
sous	O
réf	O
sav77	O
à	O
MAKITA	company
France	company
SAS	company
,	O
ZAC	O
LEONARD	O
DE	O
VINCI	O
,	O
37-43	O
avenue	O
Graham	O
Bell	O
BUSSY	city
ST	city
GEORGES	city
77607	postal code
MARNE-LA-VALLEE	O
CEDEX	O
3	O
ou	O
sur	O
notre	O
site	O
nternet	O
.	O
Type	O
d'emploi	O
:	O
CDD	contrat_type
