Assistante	position
Polyvalente	position
-LRB-	O
H/F	O
-RRB-	O
Air	company
Liquide	company
-	O
Schülke	city
-	O
La	O
Défense	O
-LRB-	O
92	code postal
-RRB-	O
CDI	contrat_type
ACHATS	hard skills
Gestion	hard skills
des	hard skills
stocks	hard skills
,	
suivi	hard skills
des	hard skills
flux	hard skills
de	hard skills
marchandises	hard skills
et	hard skills
des	hard skills
niveaux	hard skills
de	hard skills
stock	hard skills
Enregistrement	hard skills
des	hard skills
commandes	hard skills
fournisseurs	hard skills
-LRB-	
achats	hard skills
productions	hard skills
et	hard skills
généraux	hard skills
-RRB-	O
Etablissement	hard skills
d'un	hard skills
plan	hard skills
d'achat	hard skills
annuel	hard skills
afin	hard skills
de	hard skills
planifier	hard skills
la	hard skills
production	hard skills
Contrôle	hard skills
et	hard skills
entrée	hard skills
informatique	hard skills
des	hard skills
arrivages	hard skills
sur	hard skills
SAP	hard skills
Gestion	hard skills
des	hard skills
produits	hard skills
périmés	hard skills
-LRB-	O
chiffrage	hard skills
,	O
devis	hard skills
,	O
destruction	hard skills
-RRB-	O
Inventaire	hard skills
physique	hard skills
et	hard skills
régularisation	hard skills
sur	hard skills
SAP	hard skills
Gestion	hard skills
et	hard skills
suivi	hard skills
des	hard skills
prix	hard skills
d'achats	hard skills
en	hard skills
relation	hard skills
avec	hard skills
l'Allemagne	hard skills
REGLEMENTAIRE	hard skills
Enregistrement	hard skills
des	hard skills
produits	hard skills
biocides	hard skills
sur	hard skills
les	hard skills
logiciels	hard skills
dédiés	hard skills
ASSISTANAT	hard skills
POLYVALENT	hard skills
Organisation	hard skills
du	hard skills
séminaire	hard skills
annuel	hard skills
Préparation	hard skills
des	hard skills
réunions	hard skills
commerciales	hard skills
-LRB-	
réservation	hard skills
salle	hard skills
de	hard skills
réunion	hard skills
,	
hôtel	hard skills
,	
déplacement	hard skills
des	hard skills
commerciaux	hard skills
-RRB-	O
Gestion	hard skills
des	hard skills
déplacements	hard skills
professionnels	hard skills
Gestion	hard skills
de	hard skills
la	hard skills
flotte	hard skills
``	O
téléphonie	hard skills
mobile	hard skills
''	O
Suivi	hard skills
des	hard skills
dossiers	hard skills
du	hard skills
personnel	hard skills
concernant	hard skills
la	hard skills
médecine	hard skills
du	hard skills
travail	hard skills
ADMINISTRATION	hard skills
DES	hard skills
VENTES	hard skills
Saisie	hard skills
des	hard skills
commandes	hard skills
et	hard skills
facturation	hard skills
-LRB-	
suppléance	hard skills
-RRB-	O
SPECIFICITES	
DU	
POSTE	
Organisation	soft skills
,	O
gestion	soft skills
des	soft skills
priorités	soft skills
,	O
autonomie	soft skills
,	O
esprit	soft skills
d'équipe	soft skills
.	O
Connaissance	hard skills
de	hard skills
SAP	hard skills
Anglais	hard skills
courant	hard skills
Type	
d'emploi	O
:	O
CDI	contrat_type
Langue	O
exigée	O
:	O
anglais	hard skills
