INVENTORISTE	position
-LRB-	O
H/F	O
-RRB-	O
CODISUD	company
-	O
Montpellier	city
-LRB-	O
34	postal_code
-RRB-	O
19	salary
200	salary
$	salary
par	salary
an	salary
-	O
CDI	contract_type
Description	O
:	O
Gérer	hard_skill
des	hard_skill
opérations	hard_skill
d'inventaires	hard_skill
dans	hard_skill
le	hard_skill
cadre	hard_skill
de	hard_skill
contrôles	hard_skill
ou	hard_skill
cessions	hard_skill
de	hard_skill
magasins	hard_skill
de	hard_skill
la	hard_skill
société	hard_skill
-	hard_skill
Faire	hard_skill
des	hard_skill
opérations	hard_skill
de	hard_skill
saisie	hard_skill
à	hard_skill
l'aide	hard_skill
de	hard_skill
terminaux	hard_skill
-	hard_skill
S'assurer	hard_skill
de	hard_skill
la	hard_skill
fiabilité	hard_skill
et	hard_skill
de	hard_skill
la	hard_skill
qualité	hard_skill
de	hard_skill
l'inventaire	hard_skill
-	hard_skill
Représenter	hard_skill
la	hard_skill
société	hard_skill
auprès	hard_skill
des	hard_skill
gérants	hard_skill
-	hard_skill
Participer	hard_skill
ponctuellement	hard_skill
aux	hard_skill
opérations	hard_skill
de	hard_skill
remodling	hard_skill
en	hard_skill
magasins	hard_skill
Profil	O
du	O
candidat	O
:	O
-	O
Tempérament	soft_skills
commercial	soft_skills
,	O
aimant	soft_skills
le	soft_skills
contact	soft_skills
clients	soft_skills
-	O
Sens	soft_skills
de	soft_skills
la	soft_skills
gestion	soft_skills
des	soft_skills
priorités	soft_skills
et	soft_skills
de	soft_skills
l'organisation	soft_skills
-	O
Expérience	experience
de	experience
la	experience
distribution	experience
serait	experience
en	O
plus	O
35	O
heures	O
-	O
mutuelle	O
entreprise	O
-	O
prime	O
de	O
vacances	O
-LRB-	O
selon	O
date	O
d'entrée	O
entreprise	O
-RRB-	O
-	O
Horaires	O
aménagés	O
en	O
fonction	O
des	O
impératifs	O
professionnels	O
-	O
Prévoir	O
nombreux	O
déplacements	O
-	O
véhicule	O
de	O
service	O
-	O
frais	O
de	O
déplacements	O
pris	O
en	O
charge	O
.	O
Type	O
d'emploi	O
:	O
CDI	contract_type
Salaire	O
:	O
19	salary
200	salary
$	salary
/	salary
an	salary
