Préparateur	position
en	position
pharmacie	position
H/F	O
ORPEA	company
-	O
Montmorency	city
-LRB-	O
95	postal_code
-RRB-	O
CDD	contract_type
Située	O
à	O
Montmorency	city
,	O
la	O
Clinique	company
des	company
Sources	company
est	O
un	O
établissement	O
de	O
Soins	O
de	O
Suite	O
et	O
de	O
Réadaptation	O
récent	O
qui	O
prend	O
en	O
charge	O
des	O
patients	O
dans	O
le	O
cadre	O
d'une	O
hospitalisation	O
à	O
temps	O
complet	O
après	O
la	O
phase	O
aiguë	O
de	O
leur	O
pathologie	O
,	O
à	O
l'issue	O
d'une	O
hospitalisation	O
en	O
court	O
séjour	O
ou	O
en	O
provenance	O
du	O
domicile	O
,	O
pour	O
:	O
des	O
suites	O
de	O
traitements	O
médicaux	O
ou	O
chirurgicaux	O
,	O
ainsi	O
que	O
des	O
soins	O
de	O
rééducation	O
,	O
en	O
vue	O
d'un	O
retour	O
à	O
domicile	O
ou	O
en	O
institution	O
**	O
Nous	O
recherchons	O
un	O
Préparateur	position
en	position
pharmacie	position
H/F	O
en	O
CDD	contract_type
du	O
16	O
août	O
au	O
3	O
septembre	O
2017	O
à	O
mi-temps	O
les	O
après-midi	O
sauf	O
le	O
mercredi	O
le	O
matin	O
**	O
Le	O
-LRB-	O
La	O
-RRB-	O
préparateur	position
-LRB-	O
trice	position
-RRB-	O
en	position
pharmacie	position
participe	O
,	O
en	O
collaboration	O
et	O
sous	O
la	O
responsabilité	O
du	O
pharmacien	O
,	O
au	O
circuit	O
du	O
médicament	O
et	O
des	O
dispositifs	O
médicaux	O
de	O
la	O
clinique	O
.	O
Il/Elle	O
exerce	hard_skills
sa	hard_skills
mission	hard_skills
dans	hard_skills
le	hard_skills
parfait	hard_skills
respect	hard_skills
de	hard_skills
la	hard_skills
charte	hard_skills
de	hard_skills
la	hard_skills
personne	hard_skills
hospitalisée	hard_skills
-LRB-	hard_skills
confidentialité	hard_skills
,	hard_skills
respect	hard_skills
de	hard_skills
l'intimité	hard_skills
et	hard_skills
de	hard_skills
la	hard_skills
dignité	hard_skills
du	hard_skills
patient	hard_skills
-RRB-	hard_skills
,	hard_skills
des	hard_skills
règles	hard_skills
d'hygiène	hard_skills
du	hard_skills
milieu	hard_skills
hospitalier	hard_skills
et	hard_skills
des	hard_skills
procédures	hard_skills
applicables	hard_skills
.	O
Vos	O
missions	O
principales	O
:	O
Circuit	hard_skills
des	hard_skills
médicaments	hard_skills
et	hard_skills
des	hard_skills
dispositifs	hard_skills
médicaux	hard_skills
,	hard_skills
sous	hard_skills
le	hard_skills
contrôle	hard_skills
effectif	hard_skills
du	hard_skills
pharmacien	hard_skills
:	hard_skills
Préparer	hard_skills
les	hard_skills
médicaments	hard_skills
en	hard_skills
vue	hard_skills
de	hard_skills
leur	hard_skills
dispensation	hard_skills
aux	hard_skills
patients	hard_skills
Délivrer	hard_skills
les	hard_skills
commandes	hard_skills
de	hard_skills
médicaments	hard_skills
et	hard_skills
dispositifs	hard_skills
médicaux	hard_skills
aux	hard_skills
services	hard_skills
conformément	hard_skills
aux	hard_skills
dotations	hard_skills
définies	hard_skills
Par	hard_skills
délégation	hard_skills
du	hard_skills
pharmacien	hard_skills
,	hard_skills
informer	hard_skills
,	hard_skills
expliquer	hard_skills
et	hard_skills
faire	hard_skills
des	hard_skills
recommandations	hard_skills
aux	hard_skills
soignants	hard_skills
sur	hard_skills
le	hard_skills
bon	hard_skills
usage	hard_skills
et	hard_skills
les	hard_skills
bonnes	hard_skills
règles	hard_skills
de	hard_skills
détention	hard_skills
et	hard_skills
de	hard_skills
conservation	hard_skills
des	hard_skills
médicaments	hard_skills
,	hard_skills
des	hard_skills
dispositifs	hard_skills
médicaux	hard_skills
et	hard_skills
autres	hard_skills
produits	hard_skills
pharmaceutiques	hard_skills
Réapprovisionner	hard_skills
les	hard_skills
dotations	hard_skills
pour	hard_skills
besoin	hard_skills
urgent	hard_skills
dans	hard_skills
le	hard_skills
respect	hard_skills
des	hard_skills
règles	hard_skills
de	hard_skills
détention	hard_skills
et	hard_skills
de	hard_skills
conservation	hard_skills
des	hard_skills
médicaments	hard_skills
et	hard_skills
des	hard_skills
dispositifs	hard_skills
médicaux	hard_skills
Respecter	hard_skills
strictement	hard_skills
les	hard_skills
procédures	hard_skills
particulières	hard_skills
liées	hard_skills
aux	hard_skills
produits	hard_skills
dont	hard_skills
la	hard_skills
traçabilité	hard_skills
est	hard_skills
réglementée	hard_skills
Appliquer	hard_skills
les	hard_skills
procédures	hard_skills
d'entretien	hard_skills
des	hard_skills
matériels	hard_skills
utilisés	hard_skills
dans	hard_skills
le	hard_skills
cadre	hard_skills
de	hard_skills
son	hard_skills
activité	hard_skills
-LRB-	hard_skills
chariot	hard_skills
d'urgence	hard_skills
,	hard_skills
armoires	hard_skills
à	hard_skills
pharmacie	hard_skills
,	hard_skills
trousse	hard_skills
d'urgence	hard_skills
,	hard_skills
hotte	hard_skills
à	hard_skills
flux	hard_skills
laminaire	hard_skills
,	hard_skills
...	hard_skills
.	hard_skills
-RRB-	hard_skills
Gestion	hard_skills
des	hard_skills
médicaments	hard_skills
:	hard_skills
Participer	hard_skills
à	hard_skills
l'inventaire	hard_skills
périodique	hard_skills
et	hard_skills
informer	hard_skills
le	hard_skills
pharmacien	hard_skills
des	hard_skills
produits	hard_skills
à	hard_skills
commander	hard_skills
avant	hard_skills
rupture	hard_skills
de	hard_skills
stock	hard_skills
Vérifier	hard_skills
et	hard_skills
ranger	hard_skills
les	hard_skills
livraisons	hard_skills
Assurer	hard_skills
le	hard_skills
suivi	hard_skills
des	hard_skills
commandes	hard_skills
Enregistrer	hard_skills
les	hard_skills
entrées	hard_skills
et	hard_skills
les	hard_skills
sorties	hard_skills
de	hard_skills
stock	hard_skills
S'assurer	hard_skills
des	hard_skills
bonnes	hard_skills
conditions	hard_skills
de	hard_skills
conservation	hard_skills
des	hard_skills
médicaments	hard_skills
de	hard_skills
la	hard_skills
pharmacie	hard_skills
-LRB-	hard_skills
température	hard_skills
,	hard_skills
exposition	hard_skills
à	hard_skills
la	hard_skills
lumière	hard_skills
,	hard_skills
...	hard_skills
-RRB-	hard_skills
Contrôler	hard_skills
et	hard_skills
collecter	hard_skills
les	hard_skills
produits	hard_skills
altérés	hard_skills
ou	hard_skills
périmés	hard_skills
en	hard_skills
vue	hard_skills
de	hard_skills
leur	hard_skills
élimination	hard_skills
selon	hard_skills
les	hard_skills
procédures	hard_skills
en	hard_skills
vigueur	hard_skills
Assurer	hard_skills
le	hard_skills
nettoyage	hard_skills
des	hard_skills
équipements	hard_skills
de	hard_skills
stockage	hard_skills
des	hard_skills
médicaments	hard_skills
Participer	hard_skills
au	hard_skills
suivi	hard_skills
des	hard_skills
factures	hard_skills
:	hard_skills
Préparer	hard_skills
les	hard_skills
éléments	hard_skills
de	hard_skills
la	hard_skills
refacturation	hard_skills
des	hard_skills
médicaments	hard_skills
,	hard_skills
le	hard_skills
cas	hard_skills
échéant	hard_skills
