Vendeur	position
-LRB-	O
se	O
-RRB-	O
temps	O
plein	O
/	O
temps	O
partiel	O
Monsieur	company
TSHIRT	company
-	O
Metz	localisation
-LRB-	O
57	O
-RRB-	O
Temps	contract_type
plein	contract_type
,	O
Temps	contract_type
partiel	contract_type
,	O
CDD	O
Créée	O
à	O
Bordeaux	O
en	O
2013	O
,	O
Monsieurtshirt.com	O
est	O
une	O
startup	O
e-commerce	O
spécialisée	O
dans	O
la	O
vente	O
en	O
ligne	O
de	O
t-shirts	O
et	O
accessoires	O
graphiques	O
.	O
La	O
société	O
compte	O
aujourd	O
'	O
hui	O
35	O
collaborateurs	O
et	O
connaît	O
une	O
croissance	O
annuelle	O
à	O
trois	O
chiffres	O
.	O
Nous	O
vendons	O
des	O
t-shirts	O
,	O
un	O
métier	O
simple	O
comme	O
bonjour	O
.	O
Oui	O
mais	O
voilà	O
,	O
nous	O
nous	O
sommes	O
fixés	O
comme	O
mission	O
de	O
donner	O
le	O
sourire	O
à	O
la	O
France	O
entière	O
avec	O
nos	O
t-shirts	O
,	O
et	O
soyons	O
fous	O
,	O
bientôt	O
à	O
toute	O
l'Europe	O
.	O
Alors	O
on	O
déploie	O
toute	O
notre	O
ingéniosité	O
,	O
notre	O
humour	O
,	O
notre	O
millième	O
degré	O
pour	O
créer	O
des	O
collections	O
cools	O
et	O
originales	O
avec	O
comme	O
volonté	O
de	O
satisfaire	O
100	O
%	O
de	O
nos	O
clients	O
.	O
Nous	O
sommes	O
une	O
équipe	O
jeune	O
et	O
passionnée	O
,	O
qui	O
aime	O
les	O
challenges	O
et	O
la	O
convivialité	O
.	O
Suite	O
à	O
l'ouverture	O
de	O
plusieurs	O
boutiques	O
éphémères	O
en	O
France	O
,	O
Monsieur	O
TSHIRT	O
a	O
décidé	O
de	O
renouveler	O
l'aventure	O
dés	O
novembre	O
pour	O
rencontrer	O
ses	O
clients	O
messins	O
dans	O
un	O
espace	O
de	O
vente	O
à	O
son	O
image	O
:	O
jeune	O
et	O
décalée	O
.	O
MISSIONS	O
Accueillir	O
,	O
conseiller	O
et	O
fidéliser	O
notre	O
clientèle	O
Assurer	O
la	O
bonne	O
tenue	O
de	O
l'espace	O
de	O
vente	O
et	O
la	O
mise	O
en	O
valeur	O
des	O
produits	O
Etre	O
responsable	O
de	O
caisse	O
Ouvrir	O
et	O
fermer	O
le	O
magasin	O
Participer	O
à	O
la	O
mise	O
en	O
place	O
du	O
merchandising	O
et	O
assurer	O
son	O
suivi	O
PROFIL	O
/	O
COMPÉTENCES	O
Profil	O
polyvalent	soft_skills
,	O
curieux	soft_skills
,	O
ambitieux	soft_skills
et	O
dynamique	soft_skills
.	O
COMPÉTENCES	O
QUI	O
FERONT	O
LA	O
DIFFÉRENCE	O
Expérience	O
récente	O
dans	O
la	O
vente	O
d'	O
1	experience
an	experience
au	O
minimum	O
.	O
Tu	O
as	O
de	O
l'autodérision	O
,	O
le	O
sourire	soft_skills
et	O
a	O
l'amour	O
du	O
produit	O
.	O
Zidane	O
est	O
ton	O
maître	O
spirituel	O
.	O
INFOS	O
Date	O
de	O
début	O
et	O
durée	O
:	O
20	O
Novembre	O
2017	O
-	O
16	O
Février	O
2018	O
.	O
Rémunération	O
:	O
SMIC	salary
horaire	O
Lieu	O
:	O
Metz	O
-	O
Centre	O
Commercial	O
Muse	O
-	O
Rue	O
des	O
Messageries	O
.	O
Contrats	O
Temps	O
plein	O
et	O
temps	O
Partiel	O
Type	O
d'emploi	O
:	O
CDD	O
