Préparateur	O
-LRB-	O
trice	O
-RRB-	O
en	O
Pharmacie	O
-LRB-	O
H/F	O
-RRB-	O
Pharmacie	company
du	company
Faubourg	company
-	O
Meaux	localisation
-LRB-	O
77	O
-RRB-	O
Pharmacie	O
du	O
Faubourg	O
à	O
Meaux	O
,	O
centre	O
villerecherche	O
préparateur	position
-LRB-	O
trice	position
-RRB-	O
temps	O
plein	O
en	O
CDI	contract_type
à	O
partir	O
du	O
1	O
mars	O
2018	O
,	O
équipe	O
dynamique	O
de	O
huit	O
personnes	O
,	O
connaissances	O
en	O
phytothérapie	hard_skills
,	O
homéopathie	hard_skills
et	O
aromathérapie	hard_skills
souhaitées	O
.	O
Type	O
de	O
contrat	O
CDI	O
Secteur	O
d'activité	O
Médecine	category
/	category
Santé	category
Fonction	O
Médecine	O
/	O
Santé	O
Expérience	O
5	O
ans	O
et	O
plus	O
Niveau	O
d'études	O
Technicien/Employ	O
é	O
/	O
Bac	O
2	O
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Expérience	O
exigée	O
:	O
poste	O
similaire	O
:	O
2	experience
ans	experience
