Commercial	position
Equity	company
Stories	company
-	O
Paris	localisation
8e	localisation
-LRB-	O
75	O
-RRB-	O
2	salary
0	salary
$	salary
-	salary
5	salary
0	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
L'Hebdo	O
des	O
AG	O
cherche	O
VRAI	O
-LRB-	O
E	O
-RRB-	O
COMMERCIAL	O
-LRB-	O
E	O
-RRB-	O
DE	O
TERRAIN	O
pour	O
booster	O
ses	O
ventes	O
L'Hebdo	O
des	O
AG	O
est	O
la	O
publication	O
en	O
ligne	O
de	O
référence	O
sur	O
les	O
sujets	O
de	O
gouvernance	O
d'entreprise	O
.	O
En	O
pleine	O
croissance	O
,	O
nous	O
cherchons	O
à	O
accélérer	O
encore	O
le	O
développement	O
de	O
nos	O
ventes	O
avec	O
un	O
-LRB-	O
e	O
-RRB-	O
vendeur	O
-LRB-	O
H/F	O
-RRB-	O
,	O
au	O
minimum	O
.	O
Vous	O
avez	O
envie	O
de	O
retrousser	O
vos	O
manches	O
avec	O
nous	O
pour	O
gagner	O
des	O
abonnés	O
au	O
quotidien	O
?	O
Cette	O
offre	O
est	O
pour	O
vous	O
.	O
Vous	O
serez	O
en	O
charge	O
de	O
la	O
vente	O
d'abonnements	O
,	O
tant	O
auprès	O
de	O
nos	O
grands	O
comptes	O
,	O
par	O
des	O
contacts	O
directs	O
,	O
qu'auprès	O
des	O
prospects	O
individuels	O
,	O
à	O
contacter	O
via	O
nos	O
outils	O
de	O
CRM	O
et	O
de	O
e-commerce	O
.	O
Profil	O
Expérience	O
requise	O
:	O
Vous	O
justifiez	O
d'au	O
moins	O
une	O
première	O
expérience	O
réussie	O
en	O
vente	O
d'abonnements	O
dans	O
le	O
secteur	O
presse	O
professionnelle	O
et/ou	O
vous	O
avez	O
une	O
connaissance	O
approfondie	O
de	O
nos	O
abonnés	O
cibles	O
-LRB-	O
directions	O
de	O
la	O
communication	O
,	O
directions	O
financières	O
,	O
banques	O
d'affaires	O
,	O
avocats	O
-RRB-	O
.	O
Savoir-faire	O
:	O
Doté	O
-LRB-	O
e	O
-RRB-	O
d'un	O
bon	O
sens	O
commercial	O
,	O
vous	O
êtes	O
à	O
l'aise	O
au	O
téléphone	O
et	O
votre	O
force	O
de	O
persuasion	soft_skills
fait	O
de	O
vous	O
un	O
-LRB-	O
e	O
-RRB-	O
véritable	O
challengeur	O
-LRB-	O
euse	O
-RRB-	O
.	O
Vous	O
êtes	O
à	O
l'aise	O
avec	O
nos	O
abonnés	O
cibles	O
.	O
Savoir	O
-	O
être	O
:	O
Vous	O
aimez	O
VRAIMENT	O
vendre	O
";"	O
vous	O
êtes	O
proactif	soft_skills
-LRB-	O
ve	O
-RRB-	O
,	O
autonome	soft_skills
,	O
rigoureux	soft_skills
-LRB-	O
se	O
-RRB-	O
et	O
avez	O
un	O
excellent	soft_skills
relationnel	O
.	O
Vous	O
êtes	O
sensible	O
à	O
l'univers	O
de	O
la	O
gouvernance	O
et	O
de	O
la	O
communication	hard_skills
financière	hard_skills
.	O
Durée	O
:	O
poste	O
à	O
pourvoir	O
dès	O
que	O
possible	O
.	O
Rémunération	O
:	O
suivant	O
expérience	O
,	O
3	O
à	O
5	O
ke/mois	O
+	O
%	O
des	O
ventes	O
réalisées	O
Contacter	O
l'auteur	O
de	O
l'offre	O
d'emploi	O
Bénédicte	O
Hautefort	O
éditrice	O
de	O
l'Hebdo	O
des	O
AG	O
Lieu	O
de	O
l'auteur	O
de	O
l'offre	O
d'emploi	O
Région	O
de	O
Paris	O
,	O
France	O
Secteur	O
Relations	O
publiques	O
et	O
communication	O
Type	O
d'emploi	O
CDD/CDI	O
ou	O
mission	O
ponctuelle	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
2	O
0	O
$	O
à	O
5	O
0	O
$	O
/	O
mois	O
