TELEPROSPECTEUR	position
TEMPS	contrat_type
PARTIEL	contrat_type
-LRB-	O
H/F	O
-RRB-	O
PRESTICER	company
-	O
Clichy	city
-LRB-	O
92	code_postal
-RRB-	O
9,76	salary
$	salary
par	salary
heure	salary
-	O
Temps	contrat_type
partiel	contrat_type
,	O
Intérim	O
Le	company
Groupe	company
Mobile	O
propose	O
à	O
travers	O
ses	O
différentes	O
identités	O
une	O
offre	O
globale	O
en	O
matière	O
de	O
gestion	O
des	O
ressources	O
humaines	O
:	O
intérim	O
,	O
CDD	O
,	O
CDI	O
,	O
formation	O
.	O
Son	company
agence	company
Presticer	company
,	O
spécialisée	O
dans	O
les	O
secteurs	O
du	O
tertiaire	O
et	O
du	O
technique	O
,	O
recherche	O
pour	O
l'un	O
de	O
ses	O
clients	O
,	O
société	O
de	O
Télémarketing	O
:	O
Téléconseiller	O
-LRB-	O
H/F	O
-RRB-	O
Votre	hard_skills
rôle	hard_skills
sera	hard_skills
de	hard_skills
démarcher	hard_skills
et	hard_skills
de	hard_skills
convaincre	hard_skills
par	hard_skills
téléphone	hard_skills
des	hard_skills
prospects	hard_skills
et	hard_skills
des	hard_skills
donateurs	hard_skills
permanents	hard_skills
pour	hard_skills
le	hard_skills
compte	hard_skills
d'associations	hard_skills
caritatives	hard_skills
sous	hard_skills
la	hard_skills
supervision	hard_skills
des	hard_skills
chefs	hard_skills
de	hard_skills
groupe	hard_skills
afin	hard_skills
de	hard_skills
récolter	hard_skills
des	hard_skills
dons	hard_skills
:	O
Prospection	hard_skills
téléphonique	hard_skills
,	O
démarcher	hard_skills
des	hard_skills
nouveaux	hard_skills
donateurs	hard_skills
pour	hard_skills
les	hard_skills
convaincre	hard_skills
de	hard_skills
faire	hard_skills
un	hard_skills
don	hard_skills
Fidéliser	hard_skills
le	hard_skills
donateur	hard_skills
ayant	hard_skills
déjà	hard_skills
donné	hard_skills
plusieurs	hard_skills
fois	hard_skills
et	hard_skills
le	hard_skills
conduire	hard_skills
à	hard_skills
renouveler	hard_skills
son	hard_skills
don	hard_skills
par	hard_skills
prélèvement	hard_skills
automatique	hard_skills
ou	hard_skills
ponctuellement	hard_skills
Profil	O
:	O
Excellente	experience
expression	experience
orale	experience
avec	experience
un	experience
vocabulaire	experience
adapté	experience
Dynamique	soft_skills
,	O
aisance	soft_skills
relationnelle	soft_skills
,	O
vous	soft_skills
avez	soft_skills
de	soft_skills
la	soft_skills
répartie	soft_skills
Vous	experience
possédez	experience
idéalement	experience
une	experience
expérience	experience
en	experience
télémarketing	experience
,	O
les	O
profils	O
débutants	O
sont	O
acceptés	O
Conditions	O
du	O
poste	O
:	O
Poste	O
en	O
intérim	O
de	O
3	O
à	O
4	O
mois	O
En	O
semaine	O
paire	O
du	O
lundi	O
au	O
vendredi	O
de	O
17h30	O
à	O
20h15	O
En	O
semaine	O
impaire	O
du	O
mardi	O
au	O
vendredi	O
de	O
17h30	O
à	O
20h15	O
Taux	O
horaire	O
de	O
9.76	O
$	O
bruts	O
+	O
prime	O
sur	O
objectifs	O
jusqu	O
'	O
à	O
150	salary
$	salary
par	salary
mois	salary
Ticket	O
restaurant	O
d'un	O
montant	O
de	O
7	O
$	O
Poste	O
basé	O
à	O
Clichy	city
-LRB-	O
92	code_postal
-RRB-	O
*	O
*	O
Type	O
d'emploi	O
:	O
Intérim	O
Salaire	O
:	O
9,76	salary
$	salary
/	O
heure	salary
