Caissier	position
station	position
service	position
TOTAL	company
,	O
H/F	O
Total	company
-	O
Franconville	city
-LRB-	O
95	postal_code
-RRB-	O
1	salary
480	salary
$	salary
par	salary
mois	salary
-	O
Temps	contrat_type
partiel	contrat_type
Mission	hard_skills
Un	hard_skills
relais	hard_skills
de	hard_skills
station-service	hard_skills
TOTAL	hard_skills
Access	hard_skills
dans	hard_skills
le	hard_skills
95	hard_skills
-LRB-	hard_skills
Val	hard_skills
d'Oise	hard_skills
-RRB-	hard_skills
recherche	hard_skills
un	hard_skills
caissier	hard_skills
pour	hard_skills
:	O
*	O
Encaisser	hard_skills
et	hard_skills
conseiller	hard_skills
les	hard_skills
clients	hard_skills
lors	hard_skills
d'achats	hard_skills
de	hard_skills
produits	hard_skills
*	hard_skills
Faire	hard_skills
de	hard_skills
la	hard_skills
mise	hard_skills
en	hard_skills
rayon	hard_skills
et	hard_skills
éventuellement	hard_skills
faire	hard_skills
l'inventaire	hard_skills
des	hard_skills
produits	hard_skills
en	hard_skills
vente	hard_skills
Profil	O
-	O
Étudiant	experience
ou	experience
professionnel	experience
avec	experience
un	experience
minimum	experience
de	experience
2	experience
ans	experience
d'expérience	experience
-LRB-	O
de	experience
préférence	experience
en	experience
station	experience
Service	experience
TOTAL	experience
-RRB-	O
-	O
Connaissance	hard_skills
du	hard_skills
logiciel	hard_skills
ISIS	hard_skills
souhaitée	hard_skills
-	O
Sérieux	soft_skills
,	O
motivé	soft_skills
,	O
très	soft_skills
bon	soft_skills
relationnel	soft_skills
et	soft_skills
sens	soft_skills
du	soft_skills
commerce	soft_skills
-	O
De	hard_skills
préférence	hard_skills
véhiculé	hard_skills
/	O
motorisé	hard_skills
Contrat	O
et	O
modalités	O
Type	O
de	O
contrat	O
:	O
CDI	contrat_type
à	O
temps	contrat_type
partiel	contrat_type
,	O
16h/semaine	O
-LRB-	O
90	O
%	O
du	O
temps	O
le	O
week-end	O
,	O
10	O
%	O
en	O
semaine	O
-RRB-	O
Période	O
:	O
A	O
partir	O
de	O
mi-Septembre	O
2017	O
Rémunération	O
:	O
SMIC	O
Candidature	O
Envoyer	O
votre	O
CV	O
avec	O
en	O
objet	O
``	O
-LSB-	O
Candidature	O
-RSB-	O
:	O
Caissier	O
station-service	O
TOTAL	O
2017	O
''	O
Type	O
d'emploi	O
:	O
Temps	contrat_type
partiel	contrat_type
Salaire	O
:	O
1	salary
480	salary
$	salary
/	O
mois	salary
