ergotherapeute	position
ADIMC	company
74	company
-	O
Héry-sur-Alby	city
-LRB-	O
74	postal_code
-RRB-	O
1	salary
766	salary
$	salary
par	salary
mois	salary
OFFRE	O
D'EMPLOI	O
Poste	O
à	O
pourvoir	O
du	O
01/01/2018	O
au	O
31/12/2018	O
L'Association	O
Départementale	O
pour	O
Infirmes	O
Moteurs	O
Cérébraux	O
de	O
Haute-Savoie	O
a	O
ouvert	O
en	O
octobre	O
2013	O
un	O
Foyer	O
d'Accueil	O
Médicalisé	O
-LRB-	O
FAM	O
-RRB-	O
situé	O
à	O
Héry	city
sur	city
Alby	city
-LRB-	O
74	postal_code
-RRB-	O
.	O
Cet	O
établissement	O
héberge	O
37	O
adultes	O
handicapés	O
répartis	O
sur	O
3	O
unités	O
de	O
vie	O
,	O
dont	O
une	O
plus	O
spécifiquement	O
adaptée	O
aux	O
adultes	O
polyhandicapés	O
.	O
Cet	O
établissement	O
recherche	O
:	O
1	position
ERGOTHÉRAPEUTE	position
-LRB-	O
H/F	O
-RRB-	O
CDD	contrat_type
Temps	O
complet	O
-	O
possibilité	O
de	O
logement	O
partagé	O
.	O
Pour	O
une	O
durée	O
de	O
12	O
mois	O
Vos	O
missions	O
principales	O
sont	O
:	O
Évaluer	O
les	O
déficiences	O
,	O
les	O
capacités	O
et	O
les	O
performances	O
motrices	O
,	O
sensitives	O
,	O
sensorielles	O
,	O
cognitives	O
du	O
résident	O
et	O
faire	O
des	O
préconisations	O
suivant	O
ses	O
besoins	O
.	O
Mettre	hard_skills
en	hard_skills
œuvre	hard_skills
des	hard_skills
soins	hard_skills
et	hard_skills
des	hard_skills
interventions	hard_skills
de	hard_skills
rééducation	hard_skills
,	O
de	hard_skills
réadaptation	hard_skills
,	O
de	hard_skills
réinsertion	hard_skills
,	O
de	hard_skills
réhabilitation	hard_skills
psychosociale	hard_skills
visant	hard_skills
à	hard_skills
réduire	hard_skills
et	hard_skills
compenser	hard_skills
les	hard_skills
altérations	hard_skills
et	hard_skills
les	hard_skills
limitations	hard_skills
d'activités	hard_skills
,	O
développer	hard_skills
,	O
restaurer	hard_skills
et	hard_skills
maintenir	hard_skills
l'indépendance	hard_skills
,	O
l'autonomie	soft_skills
et	soft_skills
la	soft_skills
participation	soft_skills
sociale	soft_skills
du	soft_skills
résident	soft_skills
.	O
Etre	soft_skills
en	soft_skills
lien	soft_skills
avec	soft_skills
la	soft_skills
famille	soft_skills
et	soft_skills
les	soft_skills
différents	soft_skills
intervenants	soft_skills
auprès	soft_skills
du	soft_skills
résident	soft_skills
Diplôme	experience
d'Etat	experience
exigé	experience
Salaire	O
de	O
base	O
selon	O
CCNT	O
du	O
15	O
mars	O
1966	O
et	O
ancienneté	O
:	O
1	salary
765.81	salary
$	salary
bruts	salary
+	O
indemnités	O
dimanches	O
et	O
jours	O
fériés	O
.	O
Permis	hard_skills
B	hard_skills
exigé	hard_skills
.	O
Lieu	O
de	O
travail	O
:	O
Héry	city
sur	O
Alby	O
Envoyer	O
CV	O
+	O
lettre	O
de	O
motivation	O
sous	O
référence	O
:	O
ERGO	position
HERY	position
CDD	contrat_type
1	O
18	O
:	O
Type	O
d'emploi	O
:	O
Temps	contrat_type
plein	contrat_type
Salaire	O
:	O
1	salary
765,81	salary
$	salary
/	O
mois	salary
